Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
"멈추면, 비로소 보이는 것들",738,20140802,주문,국내문학,<혜민 스님> 저/<이영철> 그림,9788965700609,쌤앤파커스,20120127.0,19,1,N,,기기PID_PC,경상북도,경산시,4,296
인간문제,738,20140802,주문,국내문학,<강경애>,9788936433529,창비,20060510.0,19,1,N,,기기PID_PC,경상북도,경산시,4,1
보고 있으면 기분 좋아져라,738,20140802,주문,국내문학,<정헌재> 저,9788952215352,살림출판사,20101208.0,19,1,N,,기기PID_PC,경상북도,경산시,4,3
어떤 하루,738,20141214,주문,국내문학,<신준모> 저/<김진희> 그림,9788993734348,프롬북스,20140310.0,20,1,N,,기기PID_PC,경상북도,경산시,4,393
아빠는 나무다,742,20140508,주문,국내문학,<이태범> 저,9788968970092,가연,20140331.0,10,1,N,,기기PID_PC,서울특별시,강서구,1,1
버티는 삶에 관하여,745,20141101,주문,국내문학,<허지웅> 저,9788954625883,문학동네,20140926.0,0,1,N,,기기PID_PC,경상남도,남해군,1,107
아크 18,815,20140203,주문,국내문학,<유성> 저,9788925711614,로크미디어,20091028.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 10,815,20140203,주문,국내문학,<유성> 저,9788925707433,로크미디어,20090226.0,13,1,N,,그 외,강원도,춘천시,22,2
아크 4,815,20140203,주문,국내문학,<유성> 저,9788925706191,로크미디어,20080910.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 11,815,20140203,주문,국내문학,<유성> 저,9788925709178,로크미디어,20090330.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 5,815,20140203,주문,국내문학,<유성> 저,9788925706207,로크미디어,20081013.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 3,815,20140203,주문,국내문학,<유성> 저,9788925706184,로크미디어,20080814.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 2,815,20140203,주문,국내문학,<유성> 저,9788925706177,로크미디어,20080714.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 22,815,20140203,주문,국내문학,<유성> 저,9788925714240,로크미디어,20100225.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 23,815,20140203,주문,국내문학,<유성> 저,9788925714257,로크미디어,20100503.0,13,1,N,,그 외,강원도,춘천시,22,1
아크 6,815,20140203,주문,국내문학,<유성> 저,9788925707396,로크미디어,20081104.0,13,1,N,,그 외,강원도,춘천시,22,2
아크 9,815,20140203,주문,국내문학,<유성> 저,9788925707426,로크미디어,20090130.0,13,1,N,,그 외,강원도,춘천시,22,2
아크 7,815,20140203,주문,국내문학,<유성> 저,9788925707402,로크미디어,20081129.0,13,1,N,,그 외,강원도,춘천시,22,2
내 마음 들었다 놨다,842,20140131,주문,국내문학,<김현태> 저,9791185257013,레몬북스,20131128.0,23,1,N,,그 외,서울특별시,양천구,2,7
당신을 응원하는 누군가,842,20140131,주문,국내문학,<선미화> 저,9788984455597,시그마북스,20131115.0,23,1,N,,그 외,서울특별시,양천구,2,2
선량한 시민,858,20140711,주문,국내문학,<김서진> 저,9788997962150,나무옆의자,20131127.0,22,1,N,,기기PID_PC,충청남도,아산시,1,3
"멈추면, 비로소 보이는 것들",901,20140609,주문,국내문학,<혜민 스님> 저/<이영철> 그림,9788965700609,쌤앤파커스,20120127.0,12,1,N,,기기PID_PC,대전광역시,동구,3,296
서울 시,901,20140328,주문,국내문학,<하상욱> 저,9788927804093,중앙북스(books),20130123.0,18,1,N,,그 외,대전광역시,동구,3,109
서울 시 2,901,20140328,주문,국내문학,<하상욱> 저,9788927804727,중앙북스(books),20130902.0,18,1,N,,그 외,대전광역시,동구,3,67
나의 아름다운 정원,920,20140911,주문,국내문학,<심윤경> 저,9788984317437,한겨레출판,20131118.0,23,1,Y,20140911.0,기기PID_PC,서울특별시,송파구,1,18
유년의 뜰,977,20140606,주문,국내문학,<오정희> 저,9788932009872,문학과지성사,20010531.0,16,1,N,,기기PID_PC,경기도,군포시,4,9
카인의 후예,977,20140606,주문,국내문학,<황순원> 저,9788932016696,문학과지성사,20060201.0,16,1,N,,기기PID_PC,경기도,군포시,4,5
소설가 구보씨의 일일,977,20140606,주문,국내문학,<박태원> 저,9788932015965,문학과지성사,20050418.0,16,1,N,,기기PID_PC,경기도,군포시,4,4
나목,977,20140606,주문,국내문학,<박완서> 저,9788933801741,세계사,20120122.0,16,1,N,,기기PID_PC,경기도,군포시,4,20
태평천하,1007,20140924,주문,국내문학,<채만식> 저/<이주형> 편,9788932015712,문학과지성사,20050125.0,23,1,N,,기기PID_PC,경기도,의정부시,3,17
나는 빠리의 택시 운전사,1007,20141016,주문,국내문학,<홍세화> 저,9788936471187,창비,20061107.0,21,1,N,,기기PID_PC,경기도,의정부시,3,11
눈치 보며 살기엔 인생이 너무 짧다,1007,20141204,주문,국내문학,<박대진> 저,9788998660093,센추리원,20140415.0,19,1,N,,기기PID_PC,경기도,의정부시,3,5
내가 사랑한 유럽 TOP10,1014,20140301,주문,국내문학,<정여울> 저/<대한항공 여행사진 공모전 당선작> 등 사진,9788970653976,홍익출판사,20140110.0,21,1,N,,그 외,대구광역시,수성구,1,628
황제의 외동딸 5 + 외전 세트,1082,20140529,주문,국내문학,<윤슬> 저,9788926764145,파피루스(디앤씨미디어),20140530.0,21,1,N,,기기PID_PC,충청북도,청주시 상당구,1,7
더 리턴 3,1180,20140418,주문,국내문학,<지원> 저,9788928013975,마루출판사(마루&마야),20131128.0,7,1,N,,그 외,충청남도,태안군,5,1
더 리턴 2,1180,20140418,주문,국내문학,<지원> 저,9788928013609,마루출판사(마루&마야),20131024.0,7,1,N,,그 외,충청남도,태안군,5,1
더 리턴 6,1180,20140418,주문,국내문학,<지원> 저,9788928026142,마루출판사(마루&마야),20140319.0,7,1,N,,그 외,충청남도,태안군,5,1
더 리턴 5,1180,20140418,주문,국내문학,<지원> 저,9788928014842,마루출판사(마루&마야),20140212.0,7,1,N,,그 외,충청남도,태안군,5,1
더 리턴 4,1180,20140418,주문,국내문학,<지원> 저,9788928014392,마루출판사(마루&마야),20140106.0,7,1,N,,그 외,충청남도,태안군,5,1
